generated_on,display_name,load_month,dlvd_price
2021-09-20 21:13:00.000,RBOB,Jan.22,-16.6
2021-09-20 21:13:00.000,RBOB,Feb.22,-29.0
2021-09-20 21:28:00.000,RBOB,Oct.21,-11.2
2021-09-20 21:58:00.000,RBOB,Jan.22,-16.5
2021-09-20 21:58:00.000,RBOB,Feb.22,-28.9
2021-09-20 21:58:00.000,RBOB,Sep.21,-8.5
2021-09-20 22:13:00.000,RBOB,Oct.21,-11.15
2021-09-20 22:13:00.000,RBOB,Nov.21,-12.05
2021-09-20 22:13:00.000,RBOB,Dec.21,-14.1
2021-09-20 22:13:00.000,RBOB,Jan.22,-16.6
